support,itemsets
0.8392741412832145,frozenset({'level_haut'})
0.7861309138042774,frozenset({'reason_treatment'})
0.7077122488658457,frozenset({'uth_oui'})
0.7070641607258588,"frozenset({'level_haut', 'uth_oui'})"
0.6694750486066104,"frozenset({'level_haut', 'reason_treatment'})"
0.5709656513285807,frozenset({'attendance_first'})
0.5463383020090732,"frozenset({'uth_oui', 'reason_treatment'})"
0.5463383020090732,"frozenset({'level_haut', 'uth_oui', 'reason_treatment'})"
0.5035644847699287,frozenset({'target_inappropriate'})
0.48088139987038236,"frozenset({'level_haut', 'attendance_first'})"
0.4497731691510045,"frozenset({'reason_treatment', 'attendance_first'})"
0.4270900842514582,frozenset({'attendance_review'})
0.41801685029163965,"frozenset({'level_haut', 'target_inappropriate'})"
0.41607258587167856,"frozenset({'target_inappropriate', 'reason_treatment'})"
0.41088788075178223,"frozenset({'target_inappropriate', 'uth_oui'})"
0.4102397926117952,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui'})"
0.3946856772521063,"frozenset({'uth_oui', 'attendance_first'})"
0.3940375891121192,"frozenset({'level_haut', 'uth_oui', 'attendance_first'})"
0.3869086195722618,frozenset({'target_appropriate'})
0.3843162670123137,"frozenset({'level_haut', 'reason_treatment', 'attendance_first'})"
0.356448476992871,"frozenset({'level_haut', 'attendance_review'})"
0.3486714193130266,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment'})"
0.3480233311730395,frozenset({'spec_head_neck'})
0.34348671419313026,frozenset({'spec_rhinology'})
0.34154244977316917,"frozenset({'target_inappropriate', 'uth_oui', 'reason_treatment'})"
0.34154244977316917,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'reason_treatment'})"
0.3357096565132858,frozenset({'age_adulte'})
0.33506156837329876,"frozenset({'reason_treatment', 'attendance_review'})"
0.3123784834737524,"frozenset({'level_haut', 'target_appropriate'})"
0.31108230719377833,"frozenset({'level_haut', 'uth_oui', 'attendance_review'})"
0.31108230719377833,"frozenset({'uth_oui', 'attendance_review'})"
0.3020090732339598,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'reason_treatment'})"
0.3020090732339598,"frozenset({'uth_oui', 'attendance_first', 'reason_treatment'})"
0.2968243681140635,"frozenset({'level_haut', 'uth_oui', 'target_appropriate'})"
0.2968243681140635,"frozenset({'uth_oui', 'target_appropriate'})"
0.2961762799740765,"frozenset({'target_inappropriate', 'attendance_first'})"
0.29228775113415423,frozenset({'uth_non'})
0.28839922229423204,"frozenset({'level_haut', 'spec_rhinology'})"
0.28775113415424497,"frozenset({'level_haut', 'age_adulte'})"
0.2838626053143227,"frozenset({'level_haut', 'reason_treatment', 'attendance_review'})"
0.28191834089436163,"frozenset({'level_haut', 'spec_head_neck'})"
0.2812702527543746,"frozenset({'reason_treatment', 'age_adulte'})"
0.2676604018146468,"frozenset({'reason_treatment', 'spec_head_neck'})"
0.26312378483473753,"frozenset({'reason_treatment', 'target_appropriate'})"
